Time scale            : UTC/GMT
Object                : Moon
Relative to           : Observer
Planetary theory      : EPM2021 (http://iaaras.ru/en/dept/ephemeris/epm/2021)
Coordinates           : Equatorial
Equator and equinox   : Mean J2000
Observer              : Geocentric
Light time correction : yes
Relativistic effects  : no

          Date                                  Position                                       Velocity             
YYYY MM DD HH MM SS.sss       X(km)              Y(km)              Z(km)          Vx(km/s)    Vy(km/s)    Vz(km/s) 
2023 12  8 12 43 17.000     -365303.069592     -135545.505553      -57824.574270    0.414444   -0.787723   -0.438076
2023 12  9 12 43 17.000     -320957.701003     -199499.535015      -93811.930357    0.613074   -0.692822   -0.395065
2023 12 10 12 43 17.000     -260497.913971     -253600.932290     -125155.019057    0.787410   -0.559251   -0.330354
2023 12 11 12 43 17.000     -186490.560341     -294677.310750     -150051.511165    0.926415   -0.390982   -0.245650
2023 12 12 12 43 17.000     -102445.064023     -320023.766653     -166913.700549    1.019362   -0.194952   -0.144264
2023 12 13 12 43 17.000      -12729.678418     -327670.125563     -174515.136199    1.057206    0.018716   -0.031280
2023 12 14 12 43 17.000       77641.279314     -316641.041550     -172138.353169    1.034168    0.237127    0.086605
2023 12 15 12 43 17.000      163349.057141     -287149.463539     -159691.807604    0.949085    0.445746    0.201637
2023 12 16 12 43 17.000      239200.221848     -240668.642704     -137765.048468    0.806055    0.630047    0.305863
2023 12 17 12 43 17.000      300572.429255     -179855.640321     -107604.837943    0.614157    0.777254    0.392078

